id,stock_id,close,open,high,low,volume,timestamp
124929,45,2506.25,2510.77,2513.23,2495.86,2573,2025-06-09 00:00:00
124930,45,2496.43,2506.12,2506.65,2491.99,1650,2025-06-09 01:00:00
124931,45,2493.52,2496.26,2505.83,2491.01,1195,2025-06-09 02:00:00
124932,45,2498.3,2493.81,2499.72,2483.55,3357,2025-06-09 03:00:00
124933,45,2486.84,2498.18,2498.51,2485.49,826,2025-06-09 04:00:00
124934,45,2482.05,2486.84,2493.01,2480.0,1966,2025-06-09 05:00:00
124935,45,2494.71,2482.05,2495.08,2479.09,983,2025-06-09 06:00:00
124936,45,2493.14,2494.71,2494.72,2484.73,889,2025-06-09 07:00:00
124937,45,2496.75,2493.25,2498.31,2485.64,860,2025-06-09 08:00:00
124938,45,2510.41,2496.75,2523.8,2491.99,3275,2025-06-09 09:00:00
124939,45,2536.17,2510.75,2542.71,2510.15,5868,2025-06-09 10:00:00
124940,45,2543.37,2536.17,2548.69,2530.96,4450,2025-06-09 11:00:00
124941,45,2546.56,2543.38,2549.99,2535.98,2622,2025-06-09 12:00:00
124942,45,2518.92,2546.64,2547.7,2511.53,4217,2025-06-09 13:00:00
124943,45,2532.15,2519.05,2541.03,2515.7,4363,2025-06-09 14:00:00
124944,45,2535.55,2532.15,2544.66,2530.95,4457,2025-06-09 15:00:00
124945,45,2559.85,2535.54,2574.27,2535.42,11762,2025-06-09 16:00:00
124946,45,2573.11,2559.99,2578.44,2557.67,7533,2025-06-09 17:00:00
124947,45,2585.84,2573.23,2588.0,2569.9,6160,2025-06-09 18:00:00
124948,45,2582.28,2585.84,2591.75,2574.68,4134,2025-06-09 19:00:00
124949,45,2581.81,2582.45,2586.33,2577.51,1539,2025-06-09 20:00:00
125752,45,2637.64,2590.6,2641.99,2590.6,8725,2025-06-09 21:00:00
125763,45,2656.49,2644.84,2667.52,2642.94,6653,2025-06-09 22:00:00
127725,45,2666.33,2667.39,2669.06,2658.69,2927,2025-06-09 23:00:00
134602,45,2700.18,2681.25,2729.28,2678.93,24735,2025-06-10 00:00:00
134603,45,2709.32,2700.19,2716.02,2697.59,6922,2025-06-10 01:00:00
134604,45,2693.26,2709.29,2710.52,2679.23,11154,2025-06-10 02:00:00
134605,45,2689.7,2693.52,2695.13,2676.04,4618,2025-06-10 03:00:00
134606,45,2690.52,2689.83,2693.73,2686.65,14007,2025-06-10 04:00:00
134607,45,2671.71,2690.34,2701.51,2665.89,7965,2025-06-10 05:00:00
134608,45,2677.15,2671.71,2682.76,2657.11,4389,2025-06-10 06:00:00
134609,45,2678.24,2676.97,2686.67,2667.67,4173,2025-06-10 07:00:00
134610,45,2674.57,2678.37,2685.38,2671.2,2627,2025-06-10 08:00:00
134611,45,2693.48,2674.97,2694.9,2673.8,4121,2025-06-10 09:00:00
134612,45,2696.18,2693.48,2699.23,2682.36,3356,2025-06-10 10:00:00
134613,45,2774.77,2696.23,2798.99,2688.92,22023,2025-06-10 11:00:00
